# file...... TM_1_T_1_AS_632_measured_power.csv
# date...... Fri Nov 02 09:36:44 2018
# user...... arnav
# host...... (null)
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,TM_1_T_1_AS_632:measured_demand,TM_1_T_1_AS_632:measured_power
2005-11-01 00:00:00 PST,+4075.27,+4084.29+3.80879d
2005-11-01 00:10:00 PST,+4719.25,+2525.75+8.30204d
2005-11-01 00:20:00 PST,+4719.25,+4378+14.2522d
2005-11-01 00:30:00 PST,+6645.9,+1658.06+16.3259d
2005-11-01 00:40:00 PST,+6645.9,+1640.17+16.699d
2005-11-01 00:50:00 PST,+6645.9,+1262.08+15.4518d
2005-11-01 01:00:00 PST,+6645.9,+1785.36+16.4592d
2005-11-01 01:10:00 PST,+6645.9,+1434.99+16.4851d
2005-11-01 01:20:00 PST,+6645.9,+1262.08+15.4518d
2005-11-01 01:30:00 PST,+6645.9,+3579.45+7.72602d
2005-11-01 01:40:00 PST,+6645.9,+3579.45+7.72602d
2005-11-01 01:50:00 PST,+6645.9,+4703.38+14.7908d
2005-11-01 02:00:00 PST,+6645.9,+1204.35+15.5145d
2005-11-01 02:10:00 PST,+6645.9,+2222.26+5.77177d
2005-11-01 02:20:00 PST,+6645.9,+854.008+15.1703d
2005-11-01 02:30:00 PST,+6645.9,+2096.14+5.03948d
2005-11-01 02:40:00 PST,+6645.9,+705.454+15.1299d
2005-11-01 02:50:00 PST,+6645.9,+1038.98+15.4928d
2005-11-01 03:00:00 PST,+6645.9,+1038.98+15.4928d
2005-11-01 03:10:00 PST,+6645.9,+1038.98+15.4928d
2005-11-01 03:20:00 PST,+6645.9,+1149.39+15.7525d
2005-11-01 03:30:00 PST,+6645.9,+1130.75+15.7639d
2005-11-01 03:40:00 PST,+6645.9,+1130.75+15.7639d
2005-11-01 03:50:00 PST,+6645.9,+1020.34+15.5007d
2005-11-01 04:00:00 PST,+6645.9,+4044.78+3.94004d
2005-11-01 04:10:00 PST,+6645.9,+1020.34+15.5007d
2005-11-01 04:20:00 PST,+6645.9,+1020.34+15.5007d
2005-11-01 04:30:00 PST,+6645.9,+1038.98+15.4928d
2005-11-01 04:40:00 PST,+6645.9,+4208.9+14.3558d
2005-11-01 04:50:00 PST,+6645.9,+4211.79+14.3556d
2005-11-01 05:00:00 PST,+6645.9,+4231.47+14.3706d
2005-11-01 05:10:00 PST,+6645.9,+4107.3+14.2519d
2005-11-01 05:20:00 PST,+6645.9,+4110.18+14.2518d
2005-11-01 05:30:00 PST,+6645.9,+1132.17+15.4571d
2005-11-01 05:40:00 PST,+6645.9,+1132.17+15.4571d
2005-11-01 05:50:00 PST,+6645.9,+1132.17+15.4571d
2005-11-01 06:00:00 PST,+6645.9,+1242.58+15.7006d
2005-11-01 06:10:00 PST,+6645.9,+1242.58+15.7006d
2005-11-01 06:20:00 PST,+6645.9,+1242.58+15.7006d
2005-11-01 06:30:00 PST,+6645.9,+1540.8+15.5765d
2005-11-01 06:40:00 PST,+6645.9,+1540.8+15.5765d
2005-11-01 06:50:00 PST,+6645.9,+3532.53+6.72594d
2005-11-01 07:00:00 PST,+6645.9,+3204.24+5.73783d
2005-11-01 07:10:00 PST,+18683.1,+15317.2+1.69034d
2005-11-01 07:20:00 PST,+18694,+15317.2+1.69034d
2005-11-01 07:30:00 PST,+18694,+3798.79+7.54082d
2005-11-01 07:40:00 PST,+18694,+3798.79+7.54082d
2005-11-01 07:50:00 PST,+18694,+1811.93+15.97d
2005-11-01 08:00:00 PST,+18694,+1811.93+15.97d
2005-11-01 08:10:00 PST,+18694,+1412.32+15.34d
2005-11-01 08:20:00 PST,+18694,+1412.32+15.34d
2005-11-01 08:30:00 PST,+18694,+1263.2+15.3731d
2005-11-01 08:40:00 PST,+18694,+1263.2+15.3731d
2005-11-01 08:50:00 PST,+18694,+1263.2+15.3731d
2005-11-01 09:00:00 PST,+18694,+1280.02+15.4102d
2005-11-01 09:10:00 PST,+18694,+1263.2+15.3731d
2005-11-01 09:20:00 PST,+18694,+1263.2+15.3731d
2005-11-01 09:30:00 PST,+18694,+1503.52+15.5893d
2005-11-01 09:40:00 PST,+18694,+1503.52+15.5893d
2005-11-01 09:50:00 PST,+18694,+4705.55+14.318d
2005-11-01 10:00:00 PST,+18694,+1079.18+14.8263d
2005-11-01 10:10:00 PST,+18694,+13157.1+1.77538d
2005-11-01 10:20:00 PST,+18694,+13157.1+1.77538d
2005-11-01 10:30:00 PST,+18694,+1337.2+15.3962d
2005-11-01 10:40:00 PST,+18694,+4764.89+14.3844d
2005-11-01 10:50:00 PST,+18694,+4768.97+14.3841d
2005-11-01 11:00:00 PST,+18694,+1150.43+15.1877d
2005-11-01 11:10:00 PST,+18694,+13208.6+1.85518d
2005-11-01 11:20:00 PST,+18694,+13208.6+1.85518d
2005-11-01 11:30:00 PST,+18694,+1076.8+15.4274d
2005-11-01 11:40:00 PST,+18694,+1076.8+15.4274d
2005-11-01 11:50:00 PST,+18694,+1076.8+15.4274d
2005-11-01 12:00:00 PST,+18694,+1093.62+15.47d
2005-11-01 12:10:00 PST,+18694,+1076.8+15.4274d
2005-11-01 12:20:00 PST,+18694,+1299.93+15.4059d
2005-11-01 12:30:00 PST,+18694,+1262.65+15.4161d
2005-11-01 12:40:00 PST,+18694,+1262.65+15.4161d
2005-11-01 12:50:00 PST,+18694,+1262.65+15.4161d
2005-11-01 13:00:00 PST,+18694,+1389.87+15.6706d
2005-11-01 13:10:00 PST,+18694,+13458.3+2.13575d
2005-11-01 13:20:00 PST,+18694,+13458.3+2.13575d
2005-11-01 13:30:00 PST,+18694,+1002.24+15.4547d
2005-11-01 13:40:00 PST,+18694,+1002.24+15.4547d
2005-11-01 13:50:00 PST,+18694,+1335.77+15.6558d
2005-11-01 14:00:00 PST,+18694,+1335.77+15.6558d
2005-11-01 14:10:00 PST,+18694,+4596.99+14.3718d
2005-11-01 14:20:00 PST,+18694,+4590.09+14.3722d
2005-11-01 14:30:00 PST,+18694,+4583.19+14.3727d
2005-11-01 14:40:00 PST,+18694,+4466.01+14.2786d
2005-11-01 14:50:00 PST,+18694,+4475.88+14.2937d
2005-11-01 15:00:00 PST,+18694,+4452.14+14.2793d
2005-11-01 15:10:00 PST,+18694,+4446.58+14.2795d
2005-11-01 15:20:00 PST,+18694,+4441.02+14.2798d
2005-11-01 15:30:00 PST,+18694,+1810+16.1922d
2005-11-01 15:40:00 PST,+18694,+1810+16.1922d
2005-11-01 15:50:00 PST,+18694,+1810+16.1922d
2005-11-01 16:00:00 PST,+18694,+1512.74+15.9857d
2005-11-01 16:10:00 PST,+18694,+13172.4+1.81813d
2005-11-01 16:20:00 PST,+18694,+16520.9+1.77324d
2005-11-01 16:30:00 PST,+18694,+1633.99+15.5471d
2005-11-01 16:40:00 PST,+18694,+6787.94+10.164d
2005-11-01 16:50:00 PST,+18694,+3624.73+6.93953d
2005-11-01 17:00:00 PST,+18694,+3312.66+6.06185d
2005-11-01 17:10:00 PST,+18796,+15407.6+1.77051d
2005-11-01 17:20:00 PST,+18796,+15407.6+1.77051d
2005-11-01 17:30:00 PST,+18796,+6969.61+3.67124d
2005-11-01 17:40:00 PST,+18796,+4952.15+5.17034d
2005-11-01 17:50:00 PST,+18796,+4844.53+4.87574d
2005-11-01 18:00:00 PST,+18796,+4844.53+4.87574d
2005-11-01 18:10:00 PST,+18796,+4844.53+4.87574d
2005-11-01 18:20:00 PST,+18796,+4844.53+4.87574d
2005-11-01 18:30:00 PST,+18796,+5411.02+6.02645d
2005-11-01 18:40:00 PST,+18796,+8652.45+9.02599d
2005-11-01 18:50:00 PST,+18796,+5519.11+6.2683d
2005-11-01 19:00:00 PST,+18796,+5535.59+6.30433d
2005-11-01 19:10:00 PST,+18796,+5519.11+6.2683d
2005-11-01 19:20:00 PST,+18796,+5519.11+6.2683d
2005-11-01 19:30:00 PST,+18796,+5537.53+6.29778d
2005-11-01 19:40:00 PST,+18796,+5537.53+6.29778d
2005-11-01 19:50:00 PST,+18796,+5537.53+6.29778d
2005-11-01 20:00:00 PST,+18796,+5554.01+6.3336d
2005-11-01 20:10:00 PST,+18796,+17317.8+2.1363d
2005-11-01 20:20:00 PST,+20662.7,+17211.8+2.03449d
