# file...... house_power.csv
# date...... Fri Nov 02 09:36:44 2018
# user...... arnav
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 600
# limit..... 0
# property.. timestamp,avg(measured_real_power)
2005-11-01 00:00:00 PST,+4075.37
2005-11-01 00:10:00 PST,+2499.32
2005-11-01 00:20:00 PST,+4243.38
2005-11-01 00:30:00 PST,+1591.22
2005-11-01 00:40:00 PST,+1571.02
2005-11-01 00:50:00 PST,+1216.48
2005-11-01 01:00:00 PST,+1712.22
2005-11-01 01:10:00 PST,+1376.01
2005-11-01 01:20:00 PST,+1216.48
2005-11-01 01:30:00 PST,+3547.03
2005-11-01 01:40:00 PST,+3547.03
2005-11-01 01:50:00 PST,+4547.67
2005-11-01 02:00:00 PST,+1160.48
2005-11-01 02:10:00 PST,+2211.03
2005-11-01 02:20:00 PST,+824.253
2005-11-01 02:30:00 PST,+2088.06
2005-11-01 02:40:00 PST,+681.004
2005-11-01 02:50:00 PST,+1001.23
2005-11-01 03:00:00 PST,+1001.23
2005-11-01 03:10:00 PST,+1001.23
2005-11-01 03:20:00 PST,+1106.23
2005-11-01 03:30:00 PST,+1088.23
2005-11-01 03:40:00 PST,+1088.23
2005-11-01 03:50:00 PST,+983.235
2005-11-01 04:00:00 PST,+4035.32
2005-11-01 04:10:00 PST,+983.235
2005-11-01 04:20:00 PST,+983.235
2005-11-01 04:30:00 PST,+1001.23
2005-11-01 04:40:00 PST,+4077.59
2005-11-01 04:50:00 PST,+4080.39
2005-11-01 05:00:00 PST,+4099.19
2005-11-01 05:10:00 PST,+3980.99
2005-11-01 05:20:00 PST,+3983.79
2005-11-01 05:30:00 PST,+1091.23
2005-11-01 05:40:00 PST,+1091.23
2005-11-01 05:50:00 PST,+1091.23
2005-11-01 06:00:00 PST,+1196.23
2005-11-01 06:10:00 PST,+1196.23
2005-11-01 06:20:00 PST,+1196.23
2005-11-01 06:30:00 PST,+1484.22
2005-11-01 06:40:00 PST,+1484.22
2005-11-01 06:50:00 PST,+3508.29
2005-11-01 07:00:00 PST,+3188.25
2005-11-01 07:10:00 PST,+15312
2005-11-01 07:20:00 PST,+15312
2005-11-01 07:30:00 PST,+3766.03
2005-11-01 07:40:00 PST,+3766.03
2005-11-01 07:50:00 PST,+1742.02
2005-11-01 08:00:00 PST,+1742.02
2005-11-01 08:10:00 PST,+1362.01
2005-11-01 08:20:00 PST,+1362.01
2005-11-01 08:30:00 PST,+1218.01
2005-11-01 08:40:00 PST,+1218.01
2005-11-01 08:50:00 PST,+1218.01
2005-11-01 09:00:00 PST,+1234.01
2005-11-01 09:10:00 PST,+1218.01
2005-11-01 09:20:00 PST,+1218.01
2005-11-01 09:30:00 PST,+1448.22
2005-11-01 09:40:00 PST,+1448.22
2005-11-01 09:50:00 PST,+4559.52
2005-11-01 10:00:00 PST,+1043.26
2005-11-01 10:10:00 PST,+13151.9
2005-11-01 10:20:00 PST,+13151.9
2005-11-01 10:30:00 PST,+1289.23
2005-11-01 10:40:00 PST,+4615.66
2005-11-01 10:50:00 PST,+4619.62
2005-11-01 11:00:00 PST,+1110.26
2005-11-01 11:10:00 PST,+13202.7
2005-11-01 11:20:00 PST,+13202.7
2005-11-01 11:30:00 PST,+1038.01
2005-11-01 11:40:00 PST,+1038.01
2005-11-01 11:50:00 PST,+1038.01
2005-11-01 12:00:00 PST,+1054.01
2005-11-01 12:10:00 PST,+1038.01
2005-11-01 12:20:00 PST,+1253.23
2005-11-01 12:30:00 PST,+1217.23
2005-11-01 12:40:00 PST,+1217.23
2005-11-01 12:50:00 PST,+1217.23
2005-11-01 13:00:00 PST,+1338.23
2005-11-01 13:10:00 PST,+13450.1
2005-11-01 13:20:00 PST,+13450.1
2005-11-01 13:30:00 PST,+966.007
2005-11-01 13:40:00 PST,+966.007
2005-11-01 13:50:00 PST,+1286.23
2005-11-01 14:00:00 PST,+1286.23
2005-11-01 14:10:00 PST,+4453.26
2005-11-01 14:20:00 PST,+4446.57
2005-11-01 14:30:00 PST,+4439.87
2005-11-01 14:40:00 PST,+4328.17
2005-11-01 14:50:00 PST,+4337.45
2005-11-01 15:00:00 PST,+4314.72
2005-11-01 15:10:00 PST,+4309.33
2005-11-01 15:20:00 PST,+4303.93
2005-11-01 15:30:00 PST,+1738.22
2005-11-01 15:40:00 PST,+1738.22
2005-11-01 15:50:00 PST,+1738.22
2005-11-01 16:00:00 PST,+1454.26
2005-11-01 16:10:00 PST,+13166.8
2005-11-01 16:20:00 PST,+16514.7
2005-11-01 16:30:00 PST,+1574.22
2005-11-01 16:40:00 PST,+6681.71
2005-11-01 16:50:00 PST,+3598.26
2005-11-01 17:00:00 PST,+3294.21
2005-11-01 17:10:00 PST,+15401.8
2005-11-01 17:20:00 PST,+15401.8
2005-11-01 17:30:00 PST,+6955.77
2005-11-01 17:40:00 PST,+4932.32
2005-11-01 17:50:00 PST,+4827.31
2005-11-01 18:00:00 PST,+4827.31
2005-11-01 18:10:00 PST,+4827.31
2005-11-01 18:20:00 PST,+4827.31
2005-11-01 18:30:00 PST,+5381.47
2005-11-01 18:40:00 PST,+8545.95
2005-11-01 18:50:00 PST,+5486.47
2005-11-01 19:00:00 PST,+5502.47
2005-11-01 19:10:00 PST,+5486.47
2005-11-01 19:20:00 PST,+5486.47
2005-11-01 19:30:00 PST,+5504.47
2005-11-01 19:40:00 PST,+5504.47
2005-11-01 19:50:00 PST,+5504.47
2005-11-01 20:00:00 PST,+5520.47
2005-11-01 20:10:00 PST,+17307.8
2005-11-01 20:20:00 PST,+17203
2005-11-01 20:30:00 PST,+17486.3
2005-11-01 20:40:00 PST,+8406.96
2005-11-01 20:50:00 PST,+8406.96
2005-11-01 21:00:00 PST,+5484.47
2005-11-01 21:10:00 PST,+17271.9
2005-11-01 21:20:00 PST,+19609.4
2005-11-01 21:30:00 PST,+10416.3
2005-11-01 21:40:00 PST,+10419
2005-11-01 21:50:00 PST,+7381.71
2005-11-01 22:00:00 PST,+7045.75
2005-11-01 22:10:00 PST,+3746.05
2005-11-01 22:20:00 PST,+1722.02
2005-11-01 22:30:00 PST,+1772.22
2005-11-01 22:40:00 PST,+1667.22
2005-11-01 22:50:00 PST,+1667.22
2005-11-01 23:00:00 PST,+4735.49
2005-11-01 23:10:00 PST,+4738.22
2005-11-01 23:20:00 PST,+4740.96
2005-11-01 23:30:00 PST,+1810.22
2005-11-01 23:40:00 PST,+1810.22
2005-11-01 23:50:00 PST,+1490.02
