# file...... IEEE_13_feeder_transformer_power.csv
# date...... Thu Nov 15 15:18:02 2018
# user...... arnav
# host...... (null)
# target.... transformer 23
# trigger... (none)
# interval.. 60
# limit..... 38880
# timestamp,power_out,power_out_A,power_out_B,power_out_C
2005-11-01 00:00:00 PST,+8633.27-463187j,+5931.22-154044j,+1157.27-154471j,+1544.79-154671j
2005-11-01 00:01:00 PST,+8955.31-463091j,+6254.48-153947j,+1157.5-154473j,+1543.33-154671j
2005-11-01 00:02:00 PST,+8955.31-463091j,+6254.48-153947j,+1157.51-154473j,+1543.33-154671j
2005-11-01 00:03:00 PST,+8653.83-463187j,+5951.81-154044j,+1157.29-154472j,+1544.72-154671j
2005-11-01 00:04:00 PST,+5582.82-463202j,+2866.33-154067j,+1160.27-154455j,+1556.21-154680j
2005-11-01 00:05:00 PST,+4721.93+1247.32j,+4721.93+1247.32j,+0.000168784+0.000168786j,+0.000168768+0.000168724j
2005-11-01 00:06:00 PST,+4722.22+1247.39j,+4722.22+1247.39j,+0.000168784+0.000168786j,+0.000168768+0.000168724j
2005-11-01 00:07:00 PST,+4242.57+1082.31j,+4242.57+1082.31j,+0.000168781+0.000168782j,+0.000168767+0.000168728j
2005-11-01 00:08:00 PST,+1027.33+273.535j,+1027.33+273.535j,+0.000168762+0.000168763j,+0.000168759+0.00016875j
2005-11-01 00:09:00 PST,+5396.84+1084.4j,+5396.84+1084.4j,+0.000168789+0.000168787j,+0.000168768+0.00016872j
2005-11-01 00:10:00 PST,+5397.12+1084.47j,+5397.12+1084.47j,+0.000168789+0.000168787j,+0.000168768+0.00016872j
2005-11-01 00:11:00 PST,+4723.64+1247.75j,+4723.64+1247.75j,+0.000168784+0.000168786j,+0.000168768+0.000168724j
2005-11-01 00:12:00 PST,+1507.15+438.113j,+1507.15+438.113j,+0.000168765+0.000168766j,+0.000168761+0.000168746j
2005-11-01 00:13:00 PST,+4244.28+1082.74j,+4244.28+1082.74j,+0.000168781+0.000168782j,+0.000168767+0.000168728j
2005-11-01 00:14:00 PST,+4244.56+1082.81j,+4244.56+1082.81j,+0.000168781+0.000168782j,+0.000168767+0.000168728j
2005-11-01 00:15:00 PST,+4244.85+1082.88j,+4244.85+1082.88j,+0.000168781+0.000168782j,+0.000168767+0.000168728j
