# file...... TM_1_T_1_AS_632_measured_power.csv
# date...... Thu Nov 15 15:18:02 2018
# user...... arnav
# host...... (null)
# trigger... (none)
# interval.. 200
# limit..... 0
# timestamp,TM_1_T_1_AS_632:measured_demand,TM_1_T_1_AS_632:measured_power
2005-11-01 00:00:00 PST,+4075.27,+4084.29+3.80879d
2005-11-01 00:03:20 PST,+4397.54,+4104.71+3.78982d
2005-11-01 00:06:40 PST,+4718.96,+4879.45+14.7358d
2005-11-01 00:10:00 PST,+5393.54,+5500.04+11.2934d
2005-11-01 00:13:20 PST,+5393.54,+4375.95+14.2522d
2005-11-01 00:16:40 PST,+5393.54,+1566.79+16.144d
2005-11-01 00:20:00 PST,+5393.54,+3785.03+8.03446d
2005-11-01 00:23:20 PST,+5393.54,+3785.03+8.03445d
2005-11-01 00:26:40 PST,+5393.54,+1467.17+17.2734d
2005-11-01 00:30:00 PST,+5393.54,+1324.51+16.3424d
2005-11-01 00:33:20 PST,+5393.54,+1658.06+16.3259d
2005-11-01 00:36:40 PST,+5393.54,+818.218+14.7519d
2005-11-01 00:40:00 PST,+5393.54,+1133.59+15.7105d
2005-11-01 00:43:20 PST,+5393.54,+1151.7+15.1887d
2005-11-01 00:46:40 PST,+5393.54,+928.568+15.1614d
2005-11-01 00:50:00 PST,+5393.54,+928.568+15.1614d
2005-11-01 00:53:20 PST,+5393.54,+1434.99+16.4851d
2005-11-01 00:56:40 PST,+5393.54,+4762.14+14.7974d
2005-11-01 01:00:00 PST,+5393.54,+1785.36+16.4592d
2005-11-01 01:03:20 PST,+5393.54,+928.568+15.1614d
2005-11-01 01:06:40 PST,+5393.54,+4259.47+14.3079d
2005-11-01 01:10:00 PST,+5393.54,+1262.08+15.4518d
2005-11-01 01:13:20 PST,+5393.54,+928.568+15.1614d
2005-11-01 01:16:40 PST,+5393.54,+4262.4+14.3077d
2005-11-01 01:20:00 PST,+5393.54,+1768.52+16.4427d
2005-11-01 01:23:20 PST,+5393.54,+928.568+15.1614d
