# file...... house_power.csv
# date...... Thu Nov 01 18:15:27 2018
# user...... arnav
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 600
# limit..... 0
# property.. timestamp,avg(measured_real_power)
2005-11-01 00:00:00 PST,+4075.37
2005-11-01 00:10:00 PST,+1025.25
2005-11-01 00:20:00 PST,+3427.92
2005-11-01 00:30:00 PST,+1271.01
2005-11-01 00:40:00 PST,+1271.01
2005-11-01 00:50:00 PST,+1216.48
2005-11-01 01:00:00 PST,+1376.01
2005-11-01 01:10:00 PST,+896.253
2005-11-01 01:20:00 PST,+896.253
2005-11-01 01:30:00 PST,+3226.99
2005-11-01 01:40:00 PST,+1304.01
2005-11-01 01:50:00 PST,+824.253
2005-11-01 02:00:00 PST,+2547.13
2005-11-01 02:10:00 PST,+2211.03
2005-11-01 02:20:00 PST,+2211.03
2005-11-01 02:30:00 PST,+1021.48
2005-11-01 02:40:00 PST,+701.252
2005-11-01 02:50:00 PST,+701.252
2005-11-01 03:00:00 PST,+701.252
2005-11-01 03:10:00 PST,+806.252
2005-11-01 03:20:00 PST,+806.252
2005-11-01 03:30:00 PST,+768.004
2005-11-01 03:40:00 PST,+768.004
2005-11-01 03:50:00 PST,+663.003
2005-11-01 04:00:00 PST,+663.003
2005-11-01 04:10:00 PST,+663.003
2005-11-01 04:20:00 PST,+663.003
2005-11-01 04:30:00 PST,+786.005
2005-11-01 04:40:00 PST,+786.005
2005-11-01 04:50:00 PST,+786.005
2005-11-01 05:00:00 PST,+802.005
2005-11-01 05:10:00 PST,+681.004
2005-11-01 05:20:00 PST,+681.004
2005-11-01 05:30:00 PST,+771.005
2005-11-01 05:40:00 PST,+771.005
2005-11-01 05:50:00 PST,+771.005
2005-11-01 06:00:00 PST,+1196.23
2005-11-01 06:10:00 PST,+876.006
2005-11-01 06:20:00 PST,+876.006
2005-11-01 06:30:00 PST,+1059.01
2005-11-01 06:40:00 PST,+4411.76
2005-11-01 06:50:00 PST,+6444.33
2005-11-01 07:00:00 PST,+6453.96
2005-11-01 07:10:00 PST,+18580.9
2005-11-01 07:20:00 PST,+19075.4
2005-11-01 07:30:00 PST,+7169.47
2005-11-01 07:40:00 PST,+7180.36
2005-11-01 07:50:00 PST,+5168.61
2005-11-01 08:00:00 PST,+5179.45
2005-11-01 08:10:00 PST,+4808.94
2005-11-01 08:20:00 PST,+4818.38
2005-11-01 08:30:00 PST,+4683.8
2005-11-01 08:40:00 PST,+4693.19
2005-11-01 08:50:00 PST,+4702.57
2005-11-01 09:00:00 PST,+4727.91
2005-11-01 09:10:00 PST,+4717.25
2005-11-01 09:20:00 PST,+4722.57
2005-11-01 09:30:00 PST,+4637.9
2005-11-01 09:40:00 PST,+4643.21
2005-11-01 09:50:00 PST,+4543.52
2005-11-01 10:00:00 PST,+4564.82
2005-11-01 10:10:00 PST,+16673.3
2005-11-01 10:20:00 PST,+16677.3
2005-11-01 10:30:00 PST,+4611.71
2005-11-01 10:40:00 PST,+4615.66
2005-11-01 10:50:00 PST,+4619.62
2005-11-01 11:00:00 PST,+4639.56
2005-11-01 11:10:00 PST,+16749.1
2005-11-01 11:20:00 PST,+16754.4
2005-11-01 11:30:00 PST,+4603.32
2005-11-01 11:40:00 PST,+4608.55
2005-11-01 11:50:00 PST,+4613.78
2005-11-01 12:00:00 PST,+4619
2005-11-01 12:10:00 PST,+4507.49
2005-11-01 12:20:00 PST,+4500.95
2005-11-01 12:30:00 PST,+4458.4
2005-11-01 12:40:00 PST,+4451.84
2005-11-01 12:50:00 PST,+4445.26
2005-11-01 13:00:00 PST,+4559.67
2005-11-01 13:10:00 PST,+16656.3
2005-11-01 13:20:00 PST,+16648.4
2005-11-01 13:30:00 PST,+4483.88
2005-11-01 13:40:00 PST,+4475.91
2005-11-01 13:50:00 PST,+4467.93
2005-11-01 14:00:00 PST,+4459.94
2005-11-01 14:10:00 PST,+4453.26
2005-11-01 14:20:00 PST,+4446.57
2005-11-01 14:30:00 PST,+4439.87
2005-11-01 14:40:00 PST,+4328.17
2005-11-01 14:50:00 PST,+7355.58
2005-11-01 15:00:00 PST,+4330.72
2005-11-01 15:10:00 PST,+4309.33
2005-11-01 15:20:00 PST,+16924.7
2005-11-01 15:30:00 PST,+16975.2
2005-11-01 15:40:00 PST,+4850.05
2005-11-01 15:50:00 PST,+4844.63
2005-11-01 16:00:00 PST,+4839.2
2005-11-01 16:10:00 PST,+16575.9
2005-11-01 16:20:00 PST,+16571.8
2005-11-01 16:30:00 PST,+4662.98
2005-11-01 16:40:00 PST,+6681.71
2005-11-01 16:50:00 PST,+6677.62
2005-11-01 17:00:00 PST,+6673.52
2005-11-01 17:10:00 PST,+6668.06
2005-11-01 17:20:00 PST,+6662.58
2005-11-01 17:30:00 PST,+10334.5
2005-11-01 17:40:00 PST,+8306.96
2005-11-01 17:50:00 PST,+11229.4
2005-11-01 18:00:00 PST,+8206.96
2005-11-01 18:10:00 PST,+20307.2
2005-11-01 18:20:00 PST,+20307.2
2005-11-01 18:30:00 PST,+8529.95
2005-11-01 18:40:00 PST,+5486.47
2005-11-01 18:50:00 PST,+5486.47
2005-11-01 19:00:00 PST,+5502.47
2005-11-01 19:10:00 PST,+5486.47
2005-11-01 19:20:00 PST,+5486.47
2005-11-01 19:30:00 PST,+5504.47
2005-11-01 19:40:00 PST,+5504.47
2005-11-01 19:50:00 PST,+5504.47
2005-11-01 20:00:00 PST,+5504.47
2005-11-01 20:10:00 PST,+5399.47
2005-11-01 20:20:00 PST,+5399.47
2005-11-01 20:30:00 PST,+5363.47
2005-11-01 20:40:00 PST,+5363.47
2005-11-01 20:50:00 PST,+5363.47
2005-11-01 21:00:00 PST,+5468.47
2005-11-01 21:10:00 PST,+5488.71
2005-11-01 21:20:00 PST,+19625.4
2005-11-01 21:30:00 PST,+19483.7
2005-11-01 21:40:00 PST,+7381.71
2005-11-01 21:50:00 PST,+7365.72
2005-11-01 22:00:00 PST,+7365.72
2005-11-01 22:10:00 PST,+4066.08
2005-11-01 22:20:00 PST,+2042.22
2005-11-01 22:30:00 PST,+1452.02
2005-11-01 22:40:00 PST,+1347.01
2005-11-01 22:50:00 PST,+1347.01
2005-11-01 23:00:00 PST,+1347.01
2005-11-01 23:10:00 PST,+1347.01
2005-11-01 23:20:00 PST,+1832.02
2005-11-01 23:30:00 PST,+1490.02
2005-11-01 23:40:00 PST,+1490.02
2005-11-01 23:50:00 PST,+1490.02
