# file...... TM_1_T_1_AS_632_measured_power.csv
# date...... Thu Nov 01 18:34:08 2018
# user...... arnav
# host...... (null)
# trigger... (none)
# interval.. 600
# limit..... 0
# timestamp,TM_1_T_1_AS_632:measured_demand,TM_1_T_1_AS_632:measured_power
2005-11-01 00:00:00 PST,+4075.27,+4084.29+3.80879d
2005-11-01 00:10:00 PST,+4417.91,+1060.54+14.8222d
2005-11-01 00:20:00 PST,+4417.91,+3455.42+7.24297d
2005-11-01 00:30:00 PST,+4417.91,+1324.51+16.3424d
2005-11-01 00:40:00 PST,+4417.91,+1324.51+16.3424d
2005-11-01 00:50:00 PST,+4417.91,+1262.08+15.4518d
2005-11-01 01:00:00 PST,+4417.91,+1434.99+16.4851d
2005-11-01 01:10:00 PST,+4417.91,+928.568+15.1614d
2005-11-01 01:20:00 PST,+4417.91,+928.568+15.1614d
2005-11-01 01:30:00 PST,+4417.91,+3250.14+6.85321d
2005-11-01 01:40:00 PST,+4417.91,+1360.45+16.5632d
2005-11-01 01:50:00 PST,+4417.91,+854.008+15.1703d
2005-11-01 02:00:00 PST,+4417.91,+2567.38+7.20798d
2005-11-01 02:10:00 PST,+4417.91,+2222.26+5.77178d
2005-11-01 02:20:00 PST,+4417.91,+2222.26+5.77178d
2005-11-01 02:30:00 PST,+4417.91,+1058.5+15.2d
2005-11-01 02:40:00 PST,+4417.91,+725.019+14.7123d
2005-11-01 02:50:00 PST,+4417.91,+725.019+14.7123d
2005-11-01 03:00:00 PST,+4417.91,+725.019+14.7123d
2005-11-01 03:10:00 PST,+4417.91,+835.368+15.1728d
2005-11-01 03:20:00 PST,+4417.91,+835.368+15.1728d
2005-11-01 03:30:00 PST,+4417.91,+797.204+15.5563d
2005-11-01 03:40:00 PST,+4417.91,+797.204+15.5563d
2005-11-01 03:50:00 PST,+4417.91,+686.813+15.1318d
2005-11-01 04:00:00 PST,+4417.91,+686.813+15.1318d
2005-11-01 04:10:00 PST,+4417.91,+686.813+15.1318d
2005-11-01 04:20:00 PST,+4417.91,+686.813+15.1318d
2005-11-01 04:30:00 PST,+4417.91,+815.843+15.5449d
2005-11-01 04:40:00 PST,+4417.91,+815.843+15.5449d
2005-11-01 04:50:00 PST,+4417.91,+815.843+15.5449d
2005-11-01 05:00:00 PST,+4417.91,+832.668+15.5985d
2005-11-01 05:10:00 PST,+4417.91,+705.454+15.1299d
2005-11-01 05:20:00 PST,+4417.91,+705.454+15.1299d
2005-11-01 05:30:00 PST,+4417.91,+798.654+15.1217d
2005-11-01 05:40:00 PST,+4417.91,+798.654+15.1217d
2005-11-01 05:50:00 PST,+4417.91,+798.654+15.1217d
2005-11-01 06:00:00 PST,+4417.91,+1242.58+15.7006d
2005-11-01 06:10:00 PST,+4417.91,+909.041+15.4952d
2005-11-01 06:20:00 PST,+4417.91,+909.041+15.4952d
2005-11-01 06:30:00 PST,+4417.91,+1096.9+15.1049d
2005-11-01 06:40:00 PST,+4417.91,+1096.9+15.1049d
2005-11-01 06:50:00 PST,+4417.91,+3096.45+5.29658d
2005-11-01 07:00:00 PST,+4417.91,+3424.33+6.35815d
2005-11-01 07:10:00 PST,+15549.4,+15211.6+1.57204d
2005-11-01 07:20:00 PST,+15705.8,+15700+2.10518d
2005-11-01 07:30:00 PST,+15705.8,+3798.79+7.54082d
2005-11-01 07:40:00 PST,+15705.8,+4128.59+8.24266d
2005-11-01 07:50:00 PST,+15705.8,+1811.93+15.97d
2005-11-01 08:00:00 PST,+15705.8,+1811.93+15.97d
2005-11-01 08:10:00 PST,+15705.8,+4413.68+4.85598d
2005-11-01 08:20:00 PST,+15705.8,+1412.32+15.34d
2005-11-01 08:30:00 PST,+15705.8,+1263.2+15.3731d
2005-11-01 08:40:00 PST,+15705.8,+1263.2+15.3731d
2005-11-01 08:50:00 PST,+15705.8,+1263.2+15.3731d
2005-11-01 09:00:00 PST,+15705.8,+1280.02+15.4102d
2005-11-01 09:10:00 PST,+15705.8,+1263.2+15.3731d
2005-11-01 09:20:00 PST,+15705.8,+1263.2+15.3731d
2005-11-01 09:30:00 PST,+15705.8,+1170+15.3981d
2005-11-01 09:40:00 PST,+15705.8,+4793.54+14.394d
2005-11-01 09:50:00 PST,+15705.8,+4688.75+14.3041d
2005-11-01 10:00:00 PST,+15705.8,+4711.01+14.3177d
2005-11-01 10:10:00 PST,+16677.3,+16721.5+4.43143d
2005-11-01 10:20:00 PST,+16677.3,+16725.5+4.43378d
2005-11-01 10:30:00 PST,+16677.3,+4760.82+14.3846d
2005-11-01 10:40:00 PST,+16677.3,+4764.89+14.3844d
2005-11-01 10:50:00 PST,+16677.3,+4768.97+14.3841d
2005-11-01 11:00:00 PST,+16677.3,+4792.64+14.3237d
2005-11-01 11:10:00 PST,+16940,+16692.1+4.41084d
2005-11-01 11:20:00 PST,+16940,+16697.4+4.41396d
2005-11-01 11:30:00 PST,+16940,+4641.74+14.2866d
2005-11-01 11:40:00 PST,+16940,+4647.14+14.2864d
2005-11-01 11:50:00 PST,+16940,+4762.79+14.3767d
2005-11-01 12:00:00 PST,+16940,+4784.97+14.3898d
2005-11-01 12:10:00 PST,+16940,+7736.91+8.78925d
2005-11-01 12:20:00 PST,+16940,+4754.7+14.3773d
2005-11-01 12:30:00 PST,+16940,+4600.42+14.2805d
2005-11-01 12:40:00 PST,+16940,+4593.66+14.2809d
2005-11-01 12:50:00 PST,+16940,+4586.88+14.2812d
2005-11-01 13:00:00 PST,+16940,+4596.89+14.2958d
2005-11-01 13:10:00 PST,+16940,+4682.19+14.3742d
2005-11-01 13:20:00 PST,+16940,+4674.01+14.3747d
2005-11-01 13:30:00 PST,+16940,+4628.55+14.3697d
2005-11-01 13:40:00 PST,+16940,+4620.34+14.3702d
2005-11-01 13:50:00 PST,+16940,+4501.85+14.277d
2005-11-01 14:00:00 PST,+16940,+4510.41+14.292d
2005-11-01 14:10:00 PST,+16940,+4486.73+14.2777d
2005-11-01 14:20:00 PST,+16940,+4479.83+14.278d
2005-11-01 14:30:00 PST,+16940,+4583.19+14.3727d
2005-11-01 14:40:00 PST,+16940,+4576.27+14.3731d
2005-11-01 14:50:00 PST,+16940,+4569.34+14.3736d
2005-11-01 15:00:00 PST,+16940,+4579.2+14.3881d
2005-11-01 15:10:00 PST,+16940,+16581.5+4.36673d
2005-11-01 15:20:00 PST,+16940,+16963.7+4.68669d
2005-11-01 15:30:00 PST,+16940,+5019.37+14.6895d
2005-11-01 15:40:00 PST,+16940,+1810+16.1922d
2005-11-01 15:50:00 PST,+16940,+1810+16.1922d
2005-11-01 16:00:00 PST,+16940,+1826.83+16.2107d
2005-11-01 16:10:00 PST,+16940,+13494.6+2.17116d
2005-11-01 16:20:00 PST,+16940,+13494.6+2.17116d
2005-11-01 16:30:00 PST,+16940,+1633.99+15.5471d
2005-11-01 16:40:00 PST,+16940,+3624.73+6.93953d
2005-11-01 16:50:00 PST,+16940,+3624.73+6.93953d
2005-11-01 17:00:00 PST,+16940,+3641.24+6.99127d
2005-11-01 17:10:00 PST,+16940,+3624.73+6.93953d
2005-11-01 17:20:00 PST,+16940,+3624.73+6.93953d
2005-11-01 17:30:00 PST,+16940,+7295.24+4.24205d
2005-11-01 17:40:00 PST,+16940,+5279.77+5.8664d
2005-11-01 17:50:00 PST,+16940,+5171.85+5.60497d
2005-11-01 18:00:00 PST,+16940,+5188.29+5.64551d
2005-11-01 18:10:00 PST,+16940,+5171.85+5.60497d
2005-11-01 18:20:00 PST,+16940,+5171.85+5.60497d
2005-11-01 18:30:00 PST,+16940,+5191.04+5.6297d
2005-11-01 18:40:00 PST,+16940,+5191.04+5.6297d
2005-11-01 18:50:00 PST,+16940,+5191.04+5.6297d
2005-11-01 19:00:00 PST,+16940,+5207.48+5.67001d
2005-11-01 19:10:00 PST,+17188.2,+17193.7+2.02049d
2005-11-01 19:20:00 PST,+17188.2,+17193.7+2.02049d
2005-11-01 19:30:00 PST,+20530.6,+5101.59+5.39395d
2005-11-01 19:40:00 PST,+20530.6,+5101.59+5.39395d
2005-11-01 19:50:00 PST,+20530.6,+5209.43+5.66329d
2005-11-01 20:00:00 PST,+20530.6,+5225.87+5.70336d
2005-11-01 20:10:00 PST,+20530.6,+17317.8+2.1363d
2005-11-01 20:20:00 PST,+20530.6,+17317.8+2.1363d
2005-11-01 20:30:00 PST,+20530.6,+5172.65+5.59587d
2005-11-01 20:40:00 PST,+20530.6,+5500.69+6.23863d
2005-11-01 20:50:00 PST,+20530.6,+5172.65+5.59587d
2005-11-01 21:00:00 PST,+20530.6,+5189.09+5.63644d
2005-11-01 21:10:00 PST,+20530.6,+17281.5+2.10865d
2005-11-01 21:20:00 PST,+20530.6,+19298.4+1.88819d
2005-11-01 21:30:00 PST,+20530.6,+6953.99+3.59449d
2005-11-01 21:40:00 PST,+20530.6,+6953.99+3.59449d
2005-11-01 21:50:00 PST,+20530.6,+6953.99+3.59449d
2005-11-01 22:00:00 PST,+20530.6,+6970.29+3.62939d
2005-11-01 22:10:00 PST,+20530.6,+3667.01+6.82814d
2005-11-01 22:20:00 PST,+20530.6,+1785.12+15.2815d
2005-11-01 22:30:00 PST,+20530.6,+1839.02+15.4927d
2005-11-01 22:40:00 PST,+20530.6,+1505.52+15.3227d
2005-11-01 22:50:00 PST,+20530.6,+1395.14+15.0952d
2005-11-01 23:00:00 PST,+20530.6,+1395.14+15.0952d
2005-11-01 23:10:00 PST,+20530.6,+1395.14+15.0952d
2005-11-01 23:20:00 PST,+20530.6,+1905.12+15.9255d
2005-11-01 23:30:00 PST,+20530.6,+4546.18+5.43653d
2005-11-01 23:40:00 PST,+20530.6,+1884.54+16.1474d
2005-11-01 23:50:00 PST,+20530.6,+1551.01+16.1232d
