# file...... house_power.csv
# date...... Thu Nov 01 18:34:08 2018
# user...... arnav
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 600
# limit..... 0
# property.. timestamp,avg(measured_real_power)
2005-11-01 00:00:00 PST,+4075.37
2005-11-01 00:10:00 PST,+1025.25
2005-11-01 00:20:00 PST,+3427.92
2005-11-01 00:30:00 PST,+1271.01
2005-11-01 00:40:00 PST,+1271.01
2005-11-01 00:50:00 PST,+1216.48
2005-11-01 01:00:00 PST,+1376.01
2005-11-01 01:10:00 PST,+896.253
2005-11-01 01:20:00 PST,+896.253
2005-11-01 01:30:00 PST,+3226.99
2005-11-01 01:40:00 PST,+1304.01
2005-11-01 01:50:00 PST,+824.253
2005-11-01 02:00:00 PST,+2547.13
2005-11-01 02:10:00 PST,+2211.03
2005-11-01 02:20:00 PST,+2211.03
2005-11-01 02:30:00 PST,+1021.48
2005-11-01 02:40:00 PST,+701.252
2005-11-01 02:50:00 PST,+701.252
2005-11-01 03:00:00 PST,+701.252
2005-11-01 03:10:00 PST,+806.252
2005-11-01 03:20:00 PST,+806.252
2005-11-01 03:30:00 PST,+768.004
2005-11-01 03:40:00 PST,+768.004
2005-11-01 03:50:00 PST,+663.003
2005-11-01 04:00:00 PST,+663.003
2005-11-01 04:10:00 PST,+663.003
2005-11-01 04:20:00 PST,+663.003
2005-11-01 04:30:00 PST,+786.005
2005-11-01 04:40:00 PST,+786.005
2005-11-01 04:50:00 PST,+786.005
2005-11-01 05:00:00 PST,+802.005
2005-11-01 05:10:00 PST,+681.004
2005-11-01 05:20:00 PST,+681.004
2005-11-01 05:30:00 PST,+771.005
2005-11-01 05:40:00 PST,+771.005
2005-11-01 05:50:00 PST,+771.005
2005-11-01 06:00:00 PST,+1196.23
2005-11-01 06:10:00 PST,+876.006
2005-11-01 06:20:00 PST,+876.006
2005-11-01 06:30:00 PST,+1059.01
2005-11-01 06:40:00 PST,+1059.01
2005-11-01 06:50:00 PST,+3083.29
2005-11-01 07:00:00 PST,+3403.34
2005-11-01 07:10:00 PST,+15207.3
2005-11-01 07:20:00 PST,+15690.9
2005-11-01 07:30:00 PST,+3766.03
2005-11-01 07:40:00 PST,+4086.05
2005-11-01 07:50:00 PST,+1742.02
2005-11-01 08:00:00 PST,+1742.02
2005-11-01 08:10:00 PST,+4397.96
2005-11-01 08:20:00 PST,+1362.01
2005-11-01 08:30:00 PST,+1218.01
2005-11-01 08:40:00 PST,+1218.01
2005-11-01 08:50:00 PST,+1218.01
2005-11-01 09:00:00 PST,+1234.01
2005-11-01 09:10:00 PST,+1218.01
2005-11-01 09:20:00 PST,+1218.01
2005-11-01 09:30:00 PST,+1128.01
2005-11-01 09:40:00 PST,+4643.21
2005-11-01 09:50:00 PST,+4543.52
2005-11-01 10:00:00 PST,+4564.82
2005-11-01 10:10:00 PST,+16673.3
2005-11-01 10:20:00 PST,+16677.3
2005-11-01 10:30:00 PST,+4611.71
2005-11-01 10:40:00 PST,+4615.66
2005-11-01 10:50:00 PST,+4619.62
2005-11-01 11:00:00 PST,+4643.8
2005-11-01 11:10:00 PST,+16644.4
2005-11-01 11:20:00 PST,+16649.6
2005-11-01 11:30:00 PST,+4498.33
2005-11-01 11:40:00 PST,+4503.56
2005-11-01 11:50:00 PST,+4613.78
2005-11-01 12:00:00 PST,+4635
2005-11-01 12:10:00 PST,+7646.43
2005-11-01 12:20:00 PST,+4605.94
2005-11-01 12:30:00 PST,+4458.4
2005-11-01 12:40:00 PST,+4451.84
2005-11-01 12:50:00 PST,+4445.26
2005-11-01 13:00:00 PST,+4454.68
2005-11-01 13:10:00 PST,+4535.75
2005-11-01 13:20:00 PST,+4527.82
2005-11-01 13:30:00 PST,+4483.88
2005-11-01 13:40:00 PST,+4475.91
2005-11-01 13:50:00 PST,+4362.94
2005-11-01 14:00:00 PST,+4370.94
2005-11-01 14:10:00 PST,+4348.27
2005-11-01 14:20:00 PST,+4341.58
2005-11-01 14:30:00 PST,+4439.87
2005-11-01 14:40:00 PST,+4433.16
2005-11-01 14:50:00 PST,+4426.44
2005-11-01 15:00:00 PST,+4435.71
2005-11-01 15:10:00 PST,+16535.1
2005-11-01 15:20:00 PST,+16908.8
2005-11-01 15:30:00 PST,+4855.47
2005-11-01 15:40:00 PST,+1738.22
2005-11-01 15:50:00 PST,+1738.22
2005-11-01 16:00:00 PST,+1754.22
2005-11-01 16:10:00 PST,+13486.1
2005-11-01 16:20:00 PST,+13486.1
2005-11-01 16:30:00 PST,+1574.22
2005-11-01 16:40:00 PST,+3598.26
2005-11-01 16:50:00 PST,+3598.26
2005-11-01 17:00:00 PST,+3614.25
2005-11-01 17:10:00 PST,+3598.26
2005-11-01 17:20:00 PST,+3598.26
2005-11-01 17:30:00 PST,+7275.75
2005-11-01 17:40:00 PST,+5252.46
2005-11-01 17:50:00 PST,+5147.46
2005-11-01 18:00:00 PST,+5163.46
2005-11-01 18:10:00 PST,+5147.46
2005-11-01 18:20:00 PST,+5147.46
2005-11-01 18:30:00 PST,+5166.34
2005-11-01 18:40:00 PST,+5166.34
2005-11-01 18:50:00 PST,+5166.34
2005-11-01 19:00:00 PST,+5182.34
2005-11-01 19:10:00 PST,+17185.1
2005-11-01 19:20:00 PST,+17185.1
2005-11-01 19:30:00 PST,+5079.33
2005-11-01 19:40:00 PST,+5079.33
2005-11-01 19:50:00 PST,+5184.34
2005-11-01 20:00:00 PST,+5200.34
2005-11-01 20:10:00 PST,+17307.8
2005-11-01 20:20:00 PST,+17307.8
2005-11-01 20:30:00 PST,+5148.34
2005-11-01 20:40:00 PST,+5468.47
2005-11-01 20:50:00 PST,+5148.34
2005-11-01 21:00:00 PST,+5164.34
2005-11-01 21:10:00 PST,+17271.9
2005-11-01 21:20:00 PST,+19290.4
2005-11-01 21:30:00 PST,+6940.79
2005-11-01 21:40:00 PST,+6940.79
2005-11-01 21:50:00 PST,+6940.79
2005-11-01 22:00:00 PST,+6956.78
2005-11-01 22:10:00 PST,+3641.09
2005-11-01 22:20:00 PST,+1722.02
2005-11-01 22:30:00 PST,+1772.22
2005-11-01 22:40:00 PST,+1452.02
2005-11-01 22:50:00 PST,+1347.01
2005-11-01 23:00:00 PST,+1347.01
2005-11-01 23:10:00 PST,+1347.01
2005-11-01 23:20:00 PST,+1832.02
2005-11-01 23:30:00 PST,+4525.87
2005-11-01 23:40:00 PST,+1810.22
2005-11-01 23:50:00 PST,+1490.02
