# file...... IEEE_13_feeder_transformer_power.csv
# date...... Wed Nov 21 19:24:59 2018
# user...... AICPS
# host...... (null)
# target.... transformer 23
# trigger... (none)
# interval.. 60
# limit..... 38880
# timestamp,power_out,power_out_A,power_out_B,power_out_C
2005-11-01 00:00:00 PST,+8633.27-463187j,+5931.22-154044j,+1157.27-154471j,+1544.79-154671j
2005-11-01 00:01:00 PST,+8515.29-463094j,+5812.38-153951j,+1157.93-154471j,+1544.98-154672j
2005-11-01 00:02:00 PST,+8515.29-463094j,+5812.38-153951j,+1157.93-154471j,+1544.98-154672j
2005-11-01 00:03:00 PST,+8535.76-463094j,+5832.95-153951j,+1157.91-154471j,+1544.9-154672j
2005-11-01 00:04:00 PST,+5142.8-463204j,+2424.24-154070j,+1160.7-154453j,+1557.86-154681j
2005-11-01 00:05:00 PST,+587.308+273.42j,+587.307+273.42j,+0.000168759+0.000168761j,+0.000168759+0.000168753j
2005-11-01 00:06:00 PST,+1067.11+437.923j,+1067.11+437.923j,+0.000168762+0.000168764j,+0.00016876+0.000168749j
2005-11-01 00:07:00 PST,+1067.11+437.923j,+1067.11+437.923j,+0.000168762+0.000168764j,+0.00016876+0.000168749j
2005-11-01 00:08:00 PST,+587.308+273.42j,+587.307+273.42j,+0.000168759+0.000168761j,+0.000168759+0.000168753j
2005-11-01 00:09:00 PST,+587.308+273.42j,+587.307+273.42j,+0.000168759+0.000168761j,+0.000168759+0.000168753j
2005-11-01 00:10:00 PST,+1067.11+437.923j,+1067.11+437.923j,+0.000168762+0.000168764j,+0.00016876+0.000168749j
2005-11-01 00:11:00 PST,+1387.35+531.47j,+1387.35+531.47j,+0.000168764+0.000168766j,+0.000168761+0.000168747j
2005-11-01 00:12:00 PST,+1387.35+531.47j,+1387.35+531.47j,+0.000168764+0.000168766j,+0.000168761+0.000168747j
2005-11-01 00:13:00 PST,+907.557+366.914j,+907.557+366.913j,+0.000168761+0.000168763j,+0.00016876+0.00016875j
2005-11-01 00:14:00 PST,+1067.11+437.923j,+1067.11+437.923j,+0.000168762+0.000168764j,+0.00016876+0.000168749j
2005-11-01 00:15:00 PST,+1067.11+437.923j,+1067.11+437.923j,+0.000168762+0.000168764j,+0.00016876+0.000168749j
2005-11-01 00:16:00 PST,+587.308+273.42j,+587.307+273.42j,+0.000168759+0.000168761j,+0.000168759+0.000168753j
2005-11-01 00:17:00 PST,+587.308+273.42j,+587.307+273.42j,+0.000168759+0.000168761j,+0.000168759+0.000168753j
