# file...... house_power.csv
# date...... Wed Nov 21 19:24:59 2018
# user...... AICPS
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 600
# limit..... 0
# property.. timestamp,avg(measured_real_power)
2005-11-01 00:00:00 PST,+4075.37
2005-11-01 00:10:00 PST,+1065.01
2005-11-01 00:20:00 PST,+2988
2005-11-01 00:30:00 PST,+5135.36
2005-11-01 00:40:00 PST,+4655.57
2005-11-01 00:50:00 PST,+5540.39
2005-11-01 01:00:00 PST,+5256.37
2005-11-01 01:10:00 PST,+4776.58
2005-11-01 01:20:00 PST,+4760.58
2005-11-01 01:30:00 PST,+6722.67
2005-11-01 01:40:00 PST,+6722.67
2005-11-01 01:50:00 PST,+4800.31
2005-11-01 02:00:00 PST,+4336.52
2005-11-01 02:10:00 PST,+5706.85
2005-11-01 02:20:00 PST,+5706.85
2005-11-01 02:30:00 PST,+5491.88
2005-11-01 02:40:00 PST,+4105.5
2005-11-01 02:50:00 PST,+4105.5
2005-11-01 03:00:00 PST,+4121.5
2005-11-01 03:10:00 PST,+4085.26
2005-11-01 03:20:00 PST,+4190.26
2005-11-01 03:30:00 PST,+4080.25
2005-11-01 03:40:00 PST,+4080.25
2005-11-01 03:50:00 PST,+3975.24
2005-11-01 04:00:00 PST,+3975.24
2005-11-01 04:10:00 PST,+3975.24
2005-11-01 04:20:00 PST,+3975.24
2005-11-01 04:30:00 PST,+4085.26
2005-11-01 04:40:00 PST,+4190.26
2005-11-01 04:50:00 PST,+4206.26
2005-11-01 05:00:00 PST,+4190.26
2005-11-01 05:10:00 PST,+4190.26
2005-11-01 05:20:00 PST,+4190.26
2005-11-01 05:30:00 PST,+4740.34
2005-11-01 05:40:00 PST,+4740.34
2005-11-01 05:50:00 PST,+4740.34
2005-11-01 06:00:00 PST,+4756.34
2005-11-01 06:10:00 PST,+16865.4
2005-11-01 06:20:00 PST,+16760.6
2005-11-01 06:30:00 PST,+595.008
2005-11-01 06:40:00 PST,+595.008
2005-11-01 06:50:00 PST,+2619.37
2005-11-01 07:00:00 PST,+3120.17
2005-11-01 07:10:00 PST,+3104.18
2005-11-01 07:20:00 PST,+3104.18
2005-11-01 07:30:00 PST,+3214.12
2005-11-01 07:40:00 PST,+3214.12
2005-11-01 07:50:00 PST,+810.013
2005-11-01 08:00:00 PST,+810.013
2005-11-01 08:10:00 PST,+3846.11
2005-11-01 08:20:00 PST,+810.013
2005-11-01 08:30:00 PST,+730.01
2005-11-01 08:40:00 PST,+730.01
2005-11-01 08:50:00 PST,+730.01
2005-11-01 09:00:00 PST,+746.01
2005-11-01 09:10:00 PST,+730.01
2005-11-01 09:20:00 PST,+730.01
2005-11-01 09:30:00 PST,+575.008
2005-11-01 09:40:00 PST,+575.008
2005-11-01 09:50:00 PST,+575.008
2005-11-01 10:00:00 PST,+591.008
2005-11-01 10:10:00 PST,+680.009
2005-11-01 10:20:00 PST,+680.009
2005-11-01 10:30:00 PST,+650.008
2005-11-01 10:40:00 PST,+650.008
2005-11-01 10:50:00 PST,+545.007
2005-11-01 11:00:00 PST,+545.007
2005-11-01 11:10:00 PST,+12674.4
2005-11-01 11:20:00 PST,+12674.4
2005-11-01 11:30:00 PST,+630.007
2005-11-01 11:40:00 PST,+630.007
2005-11-01 11:50:00 PST,+630.007
2005-11-01 12:00:00 PST,+630.007
2005-11-01 12:10:00 PST,+630.007
2005-11-01 12:20:00 PST,+630.007
2005-11-01 12:30:00 PST,+610.007
2005-11-01 12:40:00 PST,+610.007
2005-11-01 12:50:00 PST,+610.007
2005-11-01 13:00:00 PST,+610.007
2005-11-01 13:10:00 PST,+12739.3
2005-11-01 13:20:00 PST,+12634.6
2005-11-01 13:30:00 PST,+485.006
2005-11-01 13:40:00 PST,+485.006
2005-11-01 13:50:00 PST,+485.006
2005-11-01 14:00:00 PST,+590.006
2005-11-01 14:10:00 PST,+590.006
2005-11-01 14:20:00 PST,+590.006
2005-11-01 14:30:00 PST,+590.006
2005-11-01 14:40:00 PST,+590.006
2005-11-01 14:50:00 PST,+590.006
2005-11-01 15:00:00 PST,+986.011
2005-11-01 15:10:00 PST,+13417.7
2005-11-01 15:20:00 PST,+13098.5
2005-11-01 15:30:00 PST,+1330.22
2005-11-01 15:40:00 PST,+1010.01
2005-11-01 15:50:00 PST,+950.232
2005-11-01 16:00:00 PST,+630.007
2005-11-01 16:10:00 PST,+630.007
2005-11-01 16:20:00 PST,+630.007
2005-11-01 16:30:00 PST,+750.011
2005-11-01 16:40:00 PST,+2774.31
2005-11-01 16:50:00 PST,+2774.31
2005-11-01 17:00:00 PST,+3094.36
2005-11-01 17:10:00 PST,+2774.31
2005-11-01 17:20:00 PST,+2774.31
2005-11-01 17:30:00 PST,+6178.97
2005-11-01 17:40:00 PST,+4155.34
2005-11-01 17:50:00 PST,+4155.34
2005-11-01 18:00:00 PST,+4171.35
2005-11-01 18:10:00 PST,+4580.5
2005-11-01 18:20:00 PST,+4260.35
2005-11-01 18:30:00 PST,+4390.37
2005-11-01 18:40:00 PST,+4390.37
2005-11-01 18:50:00 PST,+4285.37
2005-11-01 19:00:00 PST,+4301.37
2005-11-01 19:10:00 PST,+4285.37
2005-11-01 19:20:00 PST,+4285.37
2005-11-01 19:30:00 PST,+4400.37
2005-11-01 19:40:00 PST,+4400.37
2005-11-01 19:50:00 PST,+4400.37
2005-11-01 20:00:00 PST,+4416.38
2005-11-01 20:10:00 PST,+16419.9
2005-11-01 20:20:00 PST,+16739.1
2005-11-01 20:30:00 PST,+4275.37
2005-11-01 20:40:00 PST,+4595.52
2005-11-01 20:50:00 PST,+4380.37
2005-11-01 21:00:00 PST,+4700.52
2005-11-01 21:10:00 PST,+4380.37
2005-11-01 21:20:00 PST,+6403.89
2005-11-01 21:30:00 PST,+6333.91
2005-11-01 21:40:00 PST,+6333.91
2005-11-01 21:50:00 PST,+6333.91
2005-11-01 22:00:00 PST,+6349.91
2005-11-01 22:10:00 PST,+3034.18
2005-11-01 22:20:00 PST,+1010.02
2005-11-01 22:30:00 PST,+860.015
2005-11-01 22:40:00 PST,+755.014
